2023-04-01 19:08:46,602 INFO : schoolmistress logged in successfully
2023-04-01 19:14:18,115 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:14:18,123 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:14:18,132 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:14:19,423 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1246.2421875, 30]}
2023-04-01 19:14:19,444 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1450.046875, 115]}
2023-04-01 19:14:19,463 INFO : Highlight: {'top_left': [438.5625, 85.5], 'bottom_right': [1334.59375, 115]}
2023-04-01 19:14:19,482 INFO : Highlight: {'top_left': [17, 85.5], 'bottom_right': [1451.7265625, 200]}
2023-04-01 19:14:19,500 INFO : Highlight: {'top_left': [17, 170.5], 'bottom_right': [1432.6171875, 242.5]}
2023-04-01 19:14:19,517 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:14:19,537 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:14:19,558 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:14:19,583 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [1443.796875, 402]}
2023-04-01 19:14:19,604 INFO : Highlight: {'top_left': [17, 431], 'bottom_right': [217.25, 460.5]}
2023-04-01 19:14:19,619 INFO : Highlight: {'top_left': [17, 489.5], 'bottom_right': [609.953125, 519]}
2023-04-01 19:14:19,635 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [455.0234375, 577.5]}
2023-04-01 19:14:19,652 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [1424.015625, 620]}
2023-04-01 19:14:19,668 INFO : Highlight: {'top_left': [17, 590.5], 'bottom_right': [1438.40625, 662.5]}
2023-04-01 19:14:19,687 INFO : Highlight: {'top_left': [17, 675.5], 'bottom_right': [601.1640625, 705]}
2023-04-01 19:15:10,974 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:15:10,977 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:15:10,984 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:15:10,987 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:15:10,994 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:15:10,996 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:15:11,001 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:15:11,004 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:15:11,008 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:15:11,011 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:15:11,016 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:15:11,020 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:15:11,026 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:15:11,028 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:15:11,032 INFO : Highlight: {'count': 7}
2023-04-01 19:15:11,038 INFO : Highlight: {'count': 7}
2023-04-01 19:15:12,006 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:15:12,020 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:15:12,033 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:15:12,045 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:15:12,056 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:15:12,069 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:15:12,079 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:15:12,091 INFO : Highlight: {'count': 7}
2023-04-01 19:15:12,250 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:15:12,268 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:15:12,281 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:15:12,290 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:15:12,306 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:15:12,316 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:15:12,323 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:15:12,335 INFO : Highlight: {'count': 7}
2023-04-01 19:15:13,226 INFO : Highlight: {'top_left': [17.5, 0.5], 'bottom_right': [1246.7421875, 30]}
2023-04-01 19:15:13,253 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1450.046875, 115]}
2023-04-01 19:15:13,276 INFO : Highlight: {'top_left': [438.5625, 85.5], 'bottom_right': [1334.59375, 115]}
2023-04-01 19:15:13,302 INFO : Highlight: {'top_left': [17, 85.5], 'bottom_right': [1451.7265625, 200]}
2023-04-01 19:15:13,326 INFO : Highlight: {'top_left': [17, 170.5], 'bottom_right': [1432.6171875, 242.5]}
2023-04-01 19:15:13,349 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:15:13,373 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:15:13,396 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:15:13,411 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [1443.796875, 402]}
2023-04-01 19:15:13,422 INFO : Highlight: {'top_left': [17, 431], 'bottom_right': [217.25, 460.5]}
2023-04-01 19:15:13,441 INFO : Highlight: {'top_left': [17, 489.5], 'bottom_right': [609.953125, 519]}
2023-04-01 19:15:13,465 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [455.0234375, 577.5]}
2023-04-01 19:15:13,492 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [1424.015625, 620]}
2023-04-01 19:15:13,520 INFO : Highlight: {'top_left': [17, 590.5], 'bottom_right': [1438.40625, 662.5]}
2023-04-01 19:15:13,547 INFO : Highlight: {'top_left': [17, 675.5], 'bottom_right': [601.1640625, 705]}
2023-04-01 19:15:13,572 INFO : Highlight: {'count': 15}
2023-04-01 19:15:13,697 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [350.0078125, 30]}
2023-04-01 19:15:13,713 INFO : Highlight: {'top_left': [354.7578125, 0.5], 'bottom_right': [709.6484375, 30]}
2023-04-01 19:15:13,734 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1381.484375, 131]}
2023-04-01 19:15:13,753 INFO : Highlight: {'top_left': [17, 101.5], 'bottom_right': [1440.4375, 173.5]}
2023-04-01 19:15:13,769 INFO : Highlight: {'top_left': [17, 144], 'bottom_right': [1407.71875, 216]}
2023-04-01 19:15:13,787 INFO : Highlight: {'top_left': [95.4296875, 186.5], 'bottom_right': [1241.1328125, 216]}
2023-04-01 19:15:13,803 INFO : Highlight: {'top_left': [17, 186.5], 'bottom_right': [1453.9375, 301]}
2023-04-01 19:15:13,817 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1452.84375, 343.5]}
2023-04-01 19:15:13,838 INFO : Highlight: {'top_left': [17, 372.5], 'bottom_right': [1110.6875, 402]}
2023-04-01 19:15:13,856 INFO : Highlight: {'count': 9}
2023-04-01 19:38:36,428 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [492.5546875, 30]}
2023-04-01 19:38:36,441 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1281.7265625, 88.5]}
2023-04-01 19:38:36,454 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1424.5078125, 131]}
2023-04-01 19:38:36,469 INFO : Highlight: {'top_left': [17, 101.5], 'bottom_right': [1458.3125, 258.5]}
2023-04-01 19:38:36,476 INFO : Highlight: {'top_left': [17, 229], 'bottom_right': [1447.1796875, 343.5]}
2023-04-01 19:38:36,483 INFO : Highlight: {'top_left': [17, 372.5], 'bottom_right': [1431.8828125, 444.5]}
2023-04-01 19:38:36,489 INFO : Highlight: {'top_left': [17, 415], 'bottom_right': [1432.296875, 487]}
2023-04-01 19:38:36,497 INFO : Highlight: {'count': 7}
2023-04-01 19:38:43,192 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1113.3125, 30]}
2023-04-01 19:38:43,201 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1246.2421875, 30]}
2023-04-01 19:38:43,214 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,219 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1450.046875, 115]}
2023-04-01 19:38:43,226 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,231 INFO : Highlight: {'top_left': [438.5625, 85.5], 'bottom_right': [1334.59375, 115]}
2023-04-01 19:38:43,239 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,246 INFO : Highlight: {'top_left': [17, 85.5], 'bottom_right': [1451.7265625, 200]}
2023-04-01 19:38:43,250 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,255 INFO : Highlight: {'top_left': [17, 170.5], 'bottom_right': [1432.6171875, 242.5]}
2023-04-01 19:38:43,258 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,262 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:38:43,267 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,271 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:38:43,275 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,279 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:38:43,283 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:38:43,286 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [1443.796875, 402]}
2023-04-01 19:38:43,291 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:38:43,293 INFO : Highlight: {'top_left': [17, 431], 'bottom_right': [217.25, 460.5]}
2023-04-01 19:38:43,297 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:38:43,300 INFO : Highlight: {'top_left': [17, 489.5], 'bottom_right': [609.953125, 519]}
2023-04-01 19:38:43,304 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:38:43,307 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [455.0234375, 577.5]}
2023-04-01 19:38:43,309 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [1443.796875, 402]}
2023-04-01 19:38:43,312 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [1424.015625, 620]}
2023-04-01 19:38:43,314 INFO : Highlight: {'top_left': [17, 431], 'bottom_right': [217.25, 460.5]}
2023-04-01 19:38:43,317 INFO : Highlight: {'top_left': [17, 590.5], 'bottom_right': [1438.40625, 662.5]}
2023-04-01 19:38:43,320 INFO : Highlight: {'top_left': [17, 489.5], 'bottom_right': [609.953125, 519]}
2023-04-01 19:38:43,322 INFO : Highlight: {'top_left': [17, 675.5], 'bottom_right': [601.1640625, 705]}
